Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
řžx	veroniceae 2	wulfenia (genus Wulfenia)	other veronicid plant (other Veroniceae)	n/a												
řžxl	plantaginaceae 2	water-starwort (genus Callitriche)	mare's tail (genus Hippuris)	globe daisy, globularia, ball flower (genus Globularia)												
řžxr	plantaginaceae 3	firecracker plant, coralblow, russelia, fountainbush/coral plant (genus Russelia)	other plantaginaceous plant (other Plantaginaceae)	n/a												
řžxw	plantaginaceae 1	plantain, fleawort (genus Plantago)	foxglove (genus Digitalis)	fairy foxglove/alpine balsam/starflower/liver balsam (genus Erinus)												
rẓy	crepidinae 1	hawksbeard (genus Crepis)	nipplewort (genus Lapsana)	elegant hawksbeard, dwarf alpine hawksbeard (genus Askellia)												
rzzbl	Chédial-Higashi syndrome	state of being in Chédial-Higashi syndrome	state of manifesting/displaying a symptom of Chédial-Higashi syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Chédial-Higashi syndrome												
řzzbl	Cleidocranial dysostosis	state of being in Cleidocranial dysostosis	state of manifesting/displaying a symptom of Cleidocranial dysostosis	state of physical or mental incapacity/impairment/weakness/decrepitude due to Cleidocranial dysostosis												
rzzbr	Cowden syndrome	state of being in Cowden syndrome	state of manifesting/displaying a symptom of Cowden syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Cowden syndrome												
rzzbř	Denys-Drash syndrome	state of being in Denys-Drash syndrome	state of manifesting/displaying a symptom of Denys-Drash syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Denys-Drash syndrome												
řzzbr	CPO deficiency (coproporphyria)	state of being in CPO deficiency (coproporphyria)	state of manifesting/displaying a symptom of CPO deficiency (coproporphyria)	state of physical or mental incapacity/impairment/weakness/decrepitude due to CPO deficiency (coproporphyria)												
řzzbř	De Grouchy syndrome	state of being in De Grouchy syndrome	state of manifesting/displaying a symptom of De Grouchy syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to De Grouchy syndrome												
rzzbw	Ehlers–Danlos syndrome	state of being in Ehlers–Danlos syndrome	state of manifesting/displaying a symptom of Ehlers–Danlos syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Ehlers–Danlos syndrome												
řzzbw	Emery–Dreifuss syndrome	state of being in Emery–Dreifuss syndrome	state of manifesting/displaying a symptom of Emery–Dreifuss syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Emery–Dreifuss syndrome												
rzzby	Familial dysautonomia	state of being in Familial dysautonomia	state of manifesting/displaying a symptom of Familial dysautonomia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Familial dysautonomia												
řzzby	Familial Creutzfeld–Jakob Disease	state of being in Familial Creutzfeld–Jakob Disease	state of manifesting/displaying a symptom of Familial Creutzfeld–Jakob Disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Familial Creutzfeld–Jakob Disease												
rzzdl	Gerstmann–Sträussler–Scheinker syndrome	state of being in Gerstmann–Sträussler–Scheinker syndrome	state of manifesting/displaying a symptom of Gerstmann–Sträussler–Scheinker syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Gerstmann–Sträussler–Scheinker syndrome												
řzzdl	Gillespie syndrome	state of being in Gillespie syndrome	state of manifesting/displaying a symptom of Gillespie syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Gillespie syndrome												
rzzdr	Hepatoerythropoietic porphyria	state of being in Hepatoerythropoietic porphyria	state of manifesting/displaying a symptom of Hepatoerythropoietic porphyria	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hepatoerythropoietic porphyria												
rzzdř	Homocystinuria	state of being in Homocystinuria	state of manifesting/displaying a symptom of Homocystinuria	state of physical or mental incapacity/impairment/weakness/decrepitude due to Homocystinuria												
řzzdr	Hereditary coproporphyria	state of being in Hereditary coproporphyria	state of manifesting/displaying a symptom of Hereditary coproporphyria	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hereditary coproporphyria												
řzzdř	Huntington's disease	state of being in Huntington's disease	state of manifesting/displaying a symptom of Huntington's disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Huntington's disease												
rzzdw	Hypochondrogenesis	state of being in Hypochondrogenesis	state of manifesting/displaying a symptom of Hypochondrogenesis	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hypochondrogenesis												
řzzdw	Hypochondroplasia	state of being in Hypochondroplasia	state of manifesting/displaying a symptom of Hypochondroplasia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hypochondroplasia												
rzzdy	Keloid disorder	state of being in Keloid disorder	state of manifesting/displaying a symptom of Keloid disorder	state of physical or mental incapacity/impairment/weakness/decrepitude due to Keloid disorder												
řzzdy	Kniest dysplasia	state of being in Kniest dysplasia	state of manifesting/displaying a symptom of Kniest dysplasia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Kniest dysplasia												
rzzfl	Lynch syndrome	state of being in Lynch syndrome	state of manifesting/displaying a symptom of Lynch syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Lynch syndrome												
řzzfl	lipoprotein lipase deficiency	state of being in lipoprotein lipase deficiency	state of manifesting/displaying a symptom of lipoprotein lipase deficiency	state of physical or mental incapacity/impairment/weakness/decrepitude due to lipoprotein lipase deficiency												
rzzfr	Mediterranean fever, familial	state of being in Mediterranean fever, familial	state of manifesting/displaying a symptom of Mediterranean fever, familial	state of physical or mental incapacity/impairment/weakness/decrepitude due to Mediterranean fever, familial												
rzzfř	Muenke syndrome	state of being in Muenke syndrome	state of manifesting/displaying a symptom of Muenke syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Muenke syndrome												
řzzfr	Menkes disease	state of being in Menkes disease	state of manifesting/displaying a symptom of Menkes disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Menkes disease												
řzzfř	Multiple endocrine neoplasia type 1 (Wermer's syndrome)	state of being in Multiple endocrine neoplasia type 1 (Wermer's syndrome)	state of manifesting/displaying a symptom of Multiple endocrine neoplasia type 1 (Wermer's syndrome)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Multiple endocrine neoplasia type 1 (Wermer's syndrome)												
rzzfw	Neurofibromatosis type II	state of being in Neurofibromatosis type II	state of manifesting/displaying a symptom of Neurofibromatosis type II	state of physical or mental incapacity/impairment/weakness/decrepitude due to Neurofibromatosis type II												
řzzfw	Niemann–Pick disease	state of being in Niemann–Pick disease	state of manifesting/displaying a symptom of Niemann–Pick disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Niemann–Pick disease												
rzzfy	Pantothenate kinase-associated neurodegeneration	state of being in Pantothenate kinase-associated neurodegeneration	state of manifesting/displaying a symptom of Pantothenate kinase-associated neurodegeneration	state of physical or mental incapacity/impairment/weakness/decrepitude due to Pantothenate kinase-associated neurodegeneration												
řzzfy	Patau syndrome (Trisomy 13)	state of being in Patau syndrome (Trisomy 13)	state of manifesting/displaying a symptom of Patau syndrome (Trisomy 13)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Patau syndrome (Trisomy 13)												
rzzgl	Aceruloplasminemia	state of being in Aceruloplasminemia	state of manifesting/displaying a symptom of Aceruloplasminemia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Aceruloplasminemia												
řzzgl	Acheiropodia	state of being in Acheiropodia	state of manifesting/displaying a symptom of Acheiropodia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Acheiropodia												
rzzgr	Aicardi-Goutières syndrome	state of being in Aicardi-Goutières syndrome	state of manifesting/displaying a symptom of Aicardi-Goutières syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Aicardi-Goutières syndrome												
rzzgř	Amelogenesis imperfecta	state of being in Amelogenesis imperfecta	state of manifesting/displaying a symptom of Amelogenesis imperfecta	state of physical or mental incapacity/impairment/weakness/decrepitude due to Amelogenesis imperfecta												
řzzgr	Albinism	state of being in Albinism	state of manifesting/displaying a symptom of Albinism	state of physical or mental incapacity/impairment/weakness/decrepitude due to Albinism												
řzzgř	Aminolevulinic acid dehydratase deficiency porphyria	state of being in Aminolevulinic acid dehydratase deficiency porphyria	state of manifesting/displaying a symptom of Aminolevulinic acid dehydratase deficiency porphyria	state of physical or mental incapacity/impairment/weakness/decrepitude due to Aminolevulinic acid dehydratase deficiency porphyria												
rzzgw	Beckwith-Wiedemann syndrome	state of being in Beckwith-Wiedemann syndrome	state of manifesting/displaying a symptom of Beckwith-Wiedemann syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Beckwith-Wiedemann syndrome												
řzzgw	Benjamin syndrome	state of being in Benjamin syndrome	state of manifesting/displaying a symptom of Benjamin syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Benjamin syndrome												
rzzgy	CRASIL syndrome	state of being in CRASIL syndrome	state of manifesting/displaying a symptom of CRASIL syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to CRASIL syndrome												
řzzgy	Chronic granulomatous disorder	state of being in Chronic granulomatous disorder	state of manifesting/displaying a symptom of Chronic granulomatous disorder	state of physical or mental incapacity/impairment/weakness/decrepitude due to Chronic granulomatous disorder												
rzzmw	Waardenburg syndrome	state of being in Waardenburg syndrome	state of manifesting/displaying a symptom of Waardenburg syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Waardenburg syndrome												
řzzmw	Weissenbacher–Zweymüller syndrome	state of being in Weissenbacher–Zweymüller syndrome	state of manifesting/displaying a symptom of Weissenbacher–Zweymüller syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Weissenbacher–Zweymüller syndrome												
rzzmy	Xp11.2 duplication syndrome	state of being in Xp11.2 duplication syndrome	state of manifesting/displaying a symptom of Xp11.2 duplication syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Xp11.2 duplication syndrome												
řzzmy	X-linked severe combined immunodeficiency (X-SCID)	state of being in X-linked severe combined immunodeficiency (X-SCID)	state of manifesting/displaying a symptom of X-linked severe combined immunodeficiency (X-SCID)	state of physical or mental incapacity/impairment/weakness/decrepitude due to X-linked severe combined immunodeficiency (X-SCID)												
rzzvl	Pitt–Hopkins syndrome	state of being in Pitt–Hopkins syndrome	state of manifesting/displaying a symptom of Pitt–Hopkins syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Pitt–Hopkins syndrome												
řzzvl	Polycystic kidney disease	state of being in Polycystic kidney disease	state of manifesting/displaying a symptom of Polycystic kidney disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Polycystic kidney disease												
rzzvr	Pseudo-Gaucher disease	state of being in Pseudo-Gaucher disease	state of manifesting/displaying a symptom of Pseudo-Gaucher disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Pseudo-Gaucher disease												
rzzvř	Sjogren-Larsson syndrome	state of being in Sjogren-Larsson syndrome	state of manifesting/displaying a symptom of Sjogren-Larsson syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Sjogren-Larsson syndrome												
řzzvr	Pseudoxanthoma elasticum	state of being in Pseudoxanthoma elasticum	state of manifesting/displaying a symptom of Pseudoxanthoma elasticum	state of physical or mental incapacity/impairment/weakness/decrepitude due to Pseudoxanthoma elasticum												
řzzvř	Spondyloepiphyseal dysplasia congenita (SED)	state of being in Spondyloepiphyseal dysplasia congenita (SED)	state of manifesting/displaying a symptom of Spondyloepiphyseal dysplasia congenita (SED)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Spondyloepiphyseal dysplasia congenita (SED)												
rzzvw	Snyder–Robinson syndrome	state of being in Snyder–Robinson syndrome	state of manifesting/displaying a symptom of Snyder–Robinson syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Snyder–Robinson syndrome												
řzzvw	Spinal muscular atrophy	state of being in Spinal muscular atrophy	state of manifesting/displaying a symptom of Spinal muscular atrophy	state of physical or mental incapacity/impairment/weakness/decrepitude due to Spinal muscular atrophy												
rzzvy	Thanatophoric dysplasia	state of being in Thanatophoric dysplasia	state of manifesting/displaying a symptom of Thanatophoric dysplasia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Thanatophoric dysplasia												
řzzvy	Treacher Collins syndrome	state of being in Treacher Collins syndrome	state of manifesting/displaying a symptom of Treacher Collins syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Treacher Collins syndrome												
